GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ch13-continuous,es.ull.passengers,Passenger,46,31,8,2,13,10,8,5,4,4
ch13-continuous,es.ull.flights,Flight,32,45,2,4,7,14,4,6,3,4
